eff_percent,eff_unc_percent,tTH_used,PMT1_min,PMT1_max,PMT2_min,PMT2_max,PMT3_min,PMT3_max,PMT4_min,PMT4_max,Thick_min,Thick_max,TopThin_min,TopThin_max,BotThin_min,BotThin_max,passing_events,detected_events,case_name
94.62,0.67,4,94,103,101,120,146,180,95,107,5,40,2600,15000,NaN,NaN,1133,1072,PMT+Thick -> Top thin
97.26,0.48,4,94,103,101,120,146,180,95,107,5,40,NaN,NaN,4600,20000,1133,1102,PMT+Thick -> Bottom thin
90.42,0.83,4,94,103,101,120,146,180,95,107,NaN,NaN,2600,15000,NaN,NaN,1252,1132,PMT -> Top thin
94.49,0.64,4,94,103,101,120,146,180,95,107,NaN,NaN,NaN,NaN,4600,20000,1252,1183,PMT -> Bottom thin
94.92,0.66,4,94,103,101,120,146,180,95,107,5,40,2600,15000,4600,20000,1102,1046,PMT+Thick+Bottom thin -> Top thin
97.57,0.47,4,94,103,101,120,146,180,95,107,5,40,2600,15000,4600,20000,1072,1046,PMT+Thick+Top thin -> Bottom thin
95.09,0.65,4,94,103,101,120,146,180,95,107,5,40,2600,15000,4600,20000,1100,1046,PMT time+charge + Thin top/bottom -> Thick
